ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not_used,Season,Crop_status
96,789,Food,clay,3,10,34,0,2,0
97,790,Food,clay,3,35,34,0,1,0
98,790,Food,silt,3,5,7,0,1,0
99,789,Food,silt,3,5,37,0,2,0
100,789,Food,silt,3,20,23,0,2,0
101,789,Food,silt,3,50,,0,2,0
102,789,Food,silt,3,65,41,0,1,0
103,789,Food,silt,3,20,37,0,2,0
104,790,Food,silt,3,40,34,0,2,0
105,851,Food,clay,3,20,41,0,1,0
106,851,Food,clay,3,25,30,0,3,0
107,851,Food,clay,3,40,37,0,1,1
108,850,Food,clay,3,30,38,0,2,1
109,851,Food,clay,3,20,40,0,3,1
110,851,Food,clay,3,20,38,0,2,1
111,851,Food,silt,3,5,31,0,2,0
112,850,Food,silt,3,5,39,0,1,0
113,851,Food,silt,3,40,36,0,2,1
114,916,Food,clay,3,20,,0,2,0
115,915,Food,clay,3,25,37,0,1,0
116,915,Food,clay,3,30,19,0,3,0
117,915,Food,clay,3,30,,0,2,0
118,915,Food,clay,3,50,36,0,2,0
119,915,Food,silt,3,20,37,0,2,1
120,915,Food,silt,3,35,,0,2,0
121,915,Food,silt,3,60,35,0,3,0
122,984,Food,clay,3,20,15,0,2,0
123,984,Food,clay,3,20,20,0,1,0
124,984,Food,clay,3,30,18,0,1,0
125,984,Food,silt,3,5,20,0,2,0
126,984,Food,silt,3,5,23,0,3,0
127,984,Food,silt,3,30,16,0,1,0
128,984,Food,silt,3,30,45,0,2,0
129,984,Food,silt,3,40,47,0,2,0
130,984,Food,silt,3,90,41,0,2,0
131,984,Food,silt,3,30,34,0,1,0
132,1056,Food,clay,3,40,29,0,2,0
133,1056,Food,clay,3,20,42,0,2,1
134,1056,Food,clay,3,30,43,0,3,1
135,1056,Food,silt,3,25,37,0,3,0
136,1056,Food,silt,3,30,36,0,2,0
137,1056,Food,silt,3,80,44,0,1,0
138,1056,Food,silt,3,30,40,0,1,1
139,1056,Food,silt,3,40,,0,1,0
140,1056,Food,silt,3,10,42,0,3,0
141,1132,Food,clay,3,20,43,0,2,1
142,1132,Food,clay,3,30,,0,3,0
143,1132,Food,clay,3,40,26,0,2,0
144,1132,Food,clay,3,20,42,0,1,1
145,1132,Food,clay,3,40,41,0,2,1
146,1132,Food,clay,3,15,38,0,1,0
147,1132,Food,clay,3,15,42,0,2,0
148,1132,Food,silt,3,5,15,0,2,0
149,1132,Food,silt,3,60,40,0,1,0
150,1132,Food,silt,3,25,36,0,2,0
151,1132,Food,silt,3,20,40,0,3,1
152,1212,Food,clay,3,20,45,0,2,1
153,1212,Food,clay,3,15,39,0,2,0
154,1212,Food,clay,3,30,50,0,1,1
155,1212,Food,clay,3,20,50,0,1,1
156,1212,Food,clay,3,30,,0,1,0
157,1212,Food,silt,3,20,25,0,3,0
158,1212,Food,silt,3,20,36,0,2,0
159,1212,Food,silt,3,30,43,0,3,0
160,1296,Food,clay,3,10,31,0,1,0
161,1297,Food,clay,3,20,18,0,1,0
162,1297,Food,clay,3,20,52,0,2,1
163,1296,Food,silt,3,20,20,0,2,0
164,1296,Food,silt,3,30,,0,3,0
165,1297,Food,silt,3,40,26,0,1,0
166,1297,Food,silt,3,30,,0,1,0
167,1297,Food,silt,3,30,40,0,1,1
168,1296,Food,silt,3,40,44,0,3,1
169,1385,Food,clay,3,5,48,0,2,0
170,1385,Food,clay,3,10,40,0,2,1
171,1385,Food,clay,3,15,46,0,1,0
172,1385,Food,clay,3,40,36,0,3,0
173,1385,Food,clay,3,10,43,0,1,0
174,1385,Food,clay,3,25,43,0,2,1
175,1385,Food,clay,3,20,27,0,2,0
176,1385,Food,silt,3,5,15,0,2,0
177,1385,Food,silt,3,5,24,0,1,0
178,1385,Food,silt,3,20,34,0,2,0
179,1385,Food,silt,3,45,44,0,2,0
180,1385,Food,silt,3,80,45,0,1,0
181,1385,Food,silt,3,20,46,0,2,1
182,1385,Food,silt,3,20,43,0,1,1
183,1385,Food,silt,3,10,46,0,1,0
184,1385,Food,silt,3,40,35,0,1,0
185,1478,Food,clay,3,10,34,0,2,0
186,1478,Food,clay,3,15,47,0,2,0
187,1478,Food,clay,3,35,35,0,1,0
188,1478,Food,clay,3,20,50,0,2,1
189,1478,Food,silt,3,20,,0,1,0
190,1478,Food,silt,3,30,36,0,1,0
191,1478,Food,silt,3,30,39,0,2,0
192,1478,Food,silt,3,50,50,0,1,0
193,1478,Food,silt,3,20,46,0,3,1
194,1575,Food,clay,3,30,30,0,2,0
195,1575,Food,clay,3,40,13,0,2,0
196,1575,Food,clay,3,40,46,0,1,1
197,1576,Food,clay,3,20,,0,1,0
198,1576,Food,silt,3,10,35,0,2,0
199,1576,Food,silt,3,20,39,0,2,0
200,1575,Food,silt,3,30,43,0,3,0
201,1575,Food,silt,3,60,50,0,1,0
202,1678,Food,clay,3,15,14,0,2,0
203,1678,Food,clay,3,15,36,0,3,0
204,1678,Food,clay,3,15,48,0,3,0
205,1678,Food,clay,3,40,43,0,3,0
206,1678,Food,clay,3,40,35,0,2,0
207,1678,Food,clay,3,40,50,0,2,1
208,1678,Food,silt,3,15,49,0,1,0
209,1678,Food,silt,3,30,56,0,2,0
210,1678,Food,silt,3,30,40,0,3,0
211,1786,Food,clay,3,20,57,0,2,1
212,1785,Food,clay,3,40,49,0,3,1
213,1786,Food,silt,3,5,,0,1,0
214,1785,Food,silt,3,10,20,0,2,0
215,1786,Food,silt,3,15,40,0,2,0
216,1898,Food,clay,3,20,54,0,2,1
217,1898,Food,clay,3,30,36,0,1,0
218,1898,Food,clay,3,35,50,0,2,1
219,1898,Food,clay,3,40,,0,2,0
220,1898,Food,clay,3,30,52,0,3,1
221,1898,Food,clay,3,20,50,0,2,1
222,1898,Food,silt,3,15,,0,2,0
223,1898,Food,silt,3,20,46,0,1,1
224,2015,Food,clay,3,5,49,0,2,0
225,2015,Food,clay,3,50,47,0,1,0
226,2015,Food,clay,3,35,52,0,2,1
227,2015,Food,silt,3,20,,0,1,0
228,2015,Food,silt,3,20,54,0,2,1
229,2016,Food,silt,3,40,50,0,2,1
230,2015,Food,silt,3,30,52,0,3,0
231,2016,Food,silt,3,40,43,0,1,0
232,2139,Food,clay,3,20,,0,3,0
233,2138,Food,silt,3,5,52,0,1,0
234,2139,Food,silt,3,10,50,0,2,0
235,2139,Food,silt,3,25,51,0,2,0
236,2138,Food,silt,3,60,48,0,2,0
237,2267,Food,clay,3,15,53,0,1,1
238,2267,Food,clay,3,15,57,0,1,0
239,2267,Food,clay,3,30,49,0,1,1
240,2267,Food,clay,3,35,48,0,2,0
241,2267,Food,clay,3,20,57,0,2,1
242,2267,Food,silt,3,10,49,0,2,0
243,2267,Food,silt,3,40,48,0,1,0
244,2267,Food,silt,3,20,51,0,2,1
245,2401,Food,clay,3,10,54,0,2,1
246,2401,Food,clay,3,20,51,0,2,1
247,2401,Food,clay,3,40,56,0,2,0
248,2402,Food,clay,3,20,57,0,3,1
249,2402,Food,silt,3,10,58,0,1,0
250,2401,Food,silt,3,40,,0,2,0
251,2542,Food,clay,3,50,53,0,1,0
252,2542,Food,clay,3,60,59,0,3,0
253,2541,Food,clay,3,10,40,0,1,0
254,2542,Food,clay,3,15,35,0,2,0
255,2541,Food,silt,3,40,50,0,2,0
256,2541,Food,silt,3,80,47,0,2,0
257,2688,Food,clay,3,20,,0,1,0
258,2688,Food,clay,3,20,42,0,2,0
259,2688,Food,clay,3,20,56,0,1,1
260,2687,Food,clay,3,20,,0,2,0
261,2688,Food,clay,3,30,54,0,2,0
262,2688,Food,silt,3,20,51,0,2,1
263,2840,Food,silt,3,25,45,0,2,0
264,2840,Food,silt,3,30,52,0,2,0
265,2840,Food,silt,3,20,57,0,2,1
266,2999,Food,clay,3,40,56,0,1,0
267,2999,Food,clay,3,5,54,0,1,0
268,2999,Food,clay,3,10,47,0,2,0
269,2999,Food,clay,3,25,59,0,2,0
270,2999,Food,silt,3,20,57,0,2,1
271,2999,Food,silt,3,40,58,0,2,0
272,3165,Food,clay,3,30,,0,1,0
273,3165,Food,silt,3,20,53,0,1,1
274,3165,Food,silt,3,40,50,0,2,0
275,3337,Food,clay,3,20,,0,2,0
276,3337,Food,clay,3,40,58,0,2,0
277,3515,Food,clay,3,20,59,0,2,1
278,3702,Food,clay,3,20,57,0,2,0
279,3702,Food,clay,3,20,64,0,2,0
280,3702,Food,silt,3,40,62,0,3,0
281,3896,Food,clay,3,10,59,0,2,0
282,3895,Food,clay,3,15,58,0,1,0
283,4096,Food,silt,3,15,40,0,3,0
284,151,Feed,clay,3,15,16,0,2,0
285,151,Feed,silt,3,20,16,0,3,0
286,151,Feed,silt,3,30,18,0,1,0
287,168,Feed,clay,3,30,14,0,2,0
288,188,Feed,silt,3,20,6,0,2,0
289,209,Feed,clay,3,35,24,0,3,0
290,209,Feed,clay,3,10,25,0,3,0
291,209,Feed,silt,3,50,24,0,1,0
292,231,Feed,clay,3,5,,0,2,0
293,231,Feed,clay,3,15,22,0,3,0
294,232,Feed,clay,3,30,23,0,3,0
295,256,Feed,silt,3,15,6,0,2,0
296,256,Feed,silt,3,60,25,0,2,0
297,283,Feed,clay,3,25,12,0,1,0
298,283,Feed,silt,3,50,20,0,3,0
299,283,Feed,silt,3,50,25,0,2,0
300,283,Feed,silt,3,60,,0,2,0
301,283,Feed,silt,3,20,21,0,2,0
302,311,Feed,clay,3,20,5,0,2,0
303,312,Feed,clay,3,40,29,0,2,0
304,312,Feed,silt,3,5,30,0,2,0
305,311,Feed,silt,3,20,26,0,2,0
306,342,Feed,clay,3,15,25,0,1,0
307,342,Feed,clay,3,15,30,0,2,0
308,342,Feed,clay,3,30,,0,3,0
309,342,Feed,silt,3,5,6,0,2,0
310,342,Feed,silt,3,35,24,0,1,0
311,375,Feed,clay,3,5,5,0,3,0
312,375,Feed,clay,3,20,20,0,2,0
313,375,Feed,clay,3,50,26,0,2,0
314,375,Feed,silt,3,5,16,0,1,0
315,411,Feed,clay,3,10,33,0,1,0
316,410,Feed,silt,3,5,5,0,2,0
317,410,Feed,silt,3,5,28,0,2,0
318,410,Feed,silt,3,20,19,0,2,0
319,411,Feed,silt,3,20,24,0,2,0
320,411,Feed,silt,3,20,28,0,1,0
321,411,Feed,silt,3,25,32,0,2,0
322,410,Feed,silt,3,30,27,0,2,0
323,448,Feed,clay,3,20,31,0,2,0
324,448,Feed,silt,3,5,16,0,1,0
325,448,Feed,silt,3,15,21,0,1,0
326,448,Feed,silt,3,20,9,0,2,0
327,448,Feed,silt,3,25,,0,3,0
328,448,Feed,silt,3,25,23,0,2,0
329,488,Feed,silt,3,10,27,0,1,0
330,488,Feed,silt,3,30,35,0,2,0
331,531,Feed,clay,3,5,35,0,2,0
332,531,Feed,clay,3,10,13,0,2,0
333,531,Feed,silt,3,5,,0,2,0
334,531,Feed,silt,3,50,33,0,2,0
335,577,Feed,clay,3,20,18,0,3,0
336,577,Feed,clay,3,20,41,0,1,0
337,577,Feed,clay,3,30,,0,2,0
338,577,Feed,silt,3,25,31,0,2,0
339,626,Feed,clay,3,15,41,0,3,0
340,625,Feed,clay,3,20,30,0,2,1
341,626,Feed,clay,3,60,20,0,2,0
342,626,Feed,clay,3,20,5,0,2,0
343,626,Feed,clay,3,20,24,0,1,0
344,625,Feed,silt,3,10,9,0,1,0
345,625,Feed,silt,3,10,24,0,2,0
346,625,Feed,silt,3,10,,0,2,0
347,625,Feed,silt,3,15,17,0,3,0
348,626,Feed,silt,3,20,24,0,3,0
349,626,Feed,silt,3,30,39,0,2,0
350,626,Feed,silt,3,40,6,0,1,0
351,625,Feed,silt,3,20,20,0,1,0
352,677,Feed,clay,3,15,27,0,3,0
353,677,Feed,clay,3,40,20,0,2,0
354,677,Feed,clay,3,40,33,0,1,0
355,677,Feed,silt,3,60,31,0,2,0
356,732,Feed,clay,3,5,25,0,3,0
357,731,Feed,clay,3,5,27,0,2,0
358,732,Feed,clay,3,10,,0,3,0
359,731,Feed,clay,3,35,,0,2,0
360,731,Feed,silt,3,5,23,0,2,0
361,731,Feed,silt,3,15,36,0,2,0
362,789,Feed,clay,3,5,35,0,2,0
363,789,Feed,silt,3,5,22,0,2,0
364,789,Feed,silt,3,5,41,0,2,0
365,790,Feed,silt,3,60,,0,2,0
366,789,Feed,silt,3,60,30,0,2,0
367,789,Feed,silt,3,20,32,0,2,1
368,851,Feed,clay,3,20,,0,3,0
369,851,Feed,clay,3,35,28,0,2,0
370,851,Feed,silt,3,15,26,0,2,0
371,851,Feed,silt,3,60,37,0,2,0
372,916,Feed,clay,3,20,30,0,1,1
373,915,Feed,clay,3,30,14,0,2,0
374,916,Feed,clay,3,30,20,0,1,0
375,915,Feed,clay,3,30,31,0,2,0
376,915,Feed,clay,3,30,39,0,2,0
377,916,Feed,clay,3,40,29,0,1,0
378,916,Feed,clay,3,20,40,0,3,0
379,916,Feed,clay,3,10,,0,2,0
380,915,Feed,silt,3,5,17,0,2,0
381,916,Feed,silt,3,20,37,0,2,1
382,915,Feed,silt,3,30,28,0,2,0
383,916,Feed,silt,3,30,32,0,2,0
384,915,Feed,silt,3,40,5,0,2,0
385,984,Feed,clay,3,10,27,0,2,0
386,984,Feed,clay,3,40,37,0,2,0
387,984,Feed,silt,3,5,22,0,2,0
388,984,Feed,silt,3,25,27,0,2,0
389,984,Feed,silt,3,35,43,0,1,0
390,984,Feed,silt,3,15,35,0,2,0
391,1056,Feed,clay,3,30,44,0,2,0
392,1056,Feed,silt,3,10,37,0,1,0
393,1056,Feed,silt,3,25,26,0,3,0
394,1056,Feed,silt,3,30,41,0,2,0
395,1056,Feed,silt,3,40,40,0,2,0
396,1132,Feed,clay,3,5,21,0,2,0
397,1132,Feed,silt,3,5,32,0,2,0
398,1132,Feed,silt,3,20,28,0,2,0
399,1212,Feed,clay,3,20,28,0,1,0
400,1212,Feed,clay,3,25,49,0,2,0
401,1212,Feed,clay,3,20,35,0,1,0
402,1212,Feed,clay,3,25,43,0,3,0
403,1212,Feed,silt,3,5,30,0,3,0
404,1212,Feed,silt,3,5,43,0,2,0
405,1212,Feed,silt,3,30,15,0,2,0
406,1212,Feed,silt,3,30,,0,2,0
407,1212,Feed,silt,3,40,25,0,1,0
408,1212,Feed,silt,3,40,43,0,3,0
409,1212,Feed,silt,3,40,41,0,2,0
410,1296,Feed,clay,3,10,,0,2,0
411,1296,Feed,silt,3,10,30,0,2,0
412,1296,Feed,silt,3,10,32,0,1,0
413,1296,Feed,silt,3,10,41,0,2,0
414,1297,Feed,silt,3,35,,0,2,0
415,1385,Feed,clay,3,5,42,0,2,0
416,1385,Feed,clay,3,10,30,0,2,0
417,1385,Feed,clay,3,20,20,0,1,0
418,1385,Feed,clay,3,25,45,0,2,0
419,1385,Feed,clay,3,30,,0,1,0
420,1385,Feed,clay,3,20,49,0,2,1
421,1385,Feed,silt,3,20,22,0,1,0
422,1385,Feed,silt,3,25,43,0,3,0
423,1478,Feed,clay,3,40,50,0,2,0
424,1478,Feed,clay,3,20,47,0,2,1
425,1478,Feed,clay,3,40,42,0,2,0
426,1478,Feed,silt,3,10,37,0,2,0
427,1478,Feed,silt,3,20,40,0,1,1
428,1575,Feed,clay,3,10,31,0,3,0
429,1576,Feed,clay,3,30,25,0,1,0
430,1576,Feed,clay,3,40,,0,1,0
431,1575,Feed,silt,3,25,47,0,2,0
432,1575,Feed,silt,3,40,23,0,2,0
433,1575,Feed,silt,3,40,47,0,2,0
434,1575,Feed,silt,3,20,46,0,1,1
435,1678,Feed,clay,3,10,50,0,3,0
436,1678,Feed,silt,3,10,20,0,1,0
437,1678,Feed,silt,3,15,35,0,2,0
438,1678,Feed,silt,3,45,,0,2,0
439,1678,Feed,silt,3,10,40,0,2,0
440,1678,Feed,silt,3,15,45,0,2,0
441,1785,Feed,clay,3,15,48,0,2,0
442,1785,Feed,clay,3,20,33,0,1,0
443,1785,Feed,silt,3,5,18,0,2,0
444,1785,Feed,silt,3,10,,0,1,0
445,1786,Feed,silt,3,10,43,0,2,0
446,1785,Feed,silt,3,40,35,0,2,0
447,1898,Feed,clay,3,5,50,0,2,0
448,1898,Feed,clay,3,20,21,0,2,0
449,1898,Feed,silt,3,15,54,0,2,0
450,2015,Feed,clay,3,10,20,0,3,0
451,2016,Feed,clay,3,30,43,0,1,0
452,2016,Feed,clay,3,20,42,0,1,0
453,2015,Feed,silt,3,20,53,0,2,0
454,2015,Feed,silt,3,40,49,0,2,0
455,2138,Feed,clay,3,5,46,0,3,0
456,2138,Feed,clay,3,10,51,0,1,1
457,2139,Feed,clay,3,30,38,0,1,0
458,2139,Feed,clay,3,40,35,0,3,0
459,2139,Feed,clay,3,20,35,0,2,0
460,2139,Feed,clay,3,20,49,0,1,1
461,2139,Feed,silt,3,10,44,0,1,0
462,2138,Feed,silt,3,15,25,0,1,0
463,2138,Feed,silt,3,20,35,0,1,0
464,2138,Feed,silt,3,20,41,0,2,0
465,2138,Feed,silt,3,30,51,0,2,0
466,2267,Feed,clay,3,20,30,0,2,0
467,2267,Feed,clay,3,30,54,0,1,0
468,2267,Feed,silt,3,15,28,0,1,0
469,2267,Feed,silt,3,10,18,0,3,0
470,2402,Feed,clay,3,10,40,0,2,0
471,2401,Feed,clay,3,15,35,0,2,0
472,2541,Feed,clay,3,10,,0,1,0
473,2542,Feed,clay,3,15,54,0,3,0
474,2541,Feed,clay,3,40,49,0,2,0
475,2542,Feed,silt,3,20,50,0,2,1
476,2688,Feed,clay,3,10,40,0,2,0
477,2688,Feed,clay,3,20,39,0,1,0
478,2688,Feed,clay,3,25,43,0,2,0
479,2688,Feed,clay,3,30,,0,1,0
480,2688,Feed,silt,3,5,50,0,2,0
481,2687,Feed,silt,3,10,38,0,3,0
482,2688,Feed,silt,3,35,45,0,1,0
483,2840,Feed,clay,3,15,59,0,3,0
484,2840,Feed,clay,3,20,23,0,2,0
485,2840,Feed,silt,3,50,53,0,2,0
486,2840,Feed,silt,3,20,57,0,3,0
487,2999,Feed,clay,3,10,22,0,2,0
488,2999,Feed,silt,3,10,43,0,1,0
489,2999,Feed,silt,3,15,40,0,3,0
490,2999,Feed,silt,3,20,36,0,1,0
491,2999,Feed,silt,3,20,44,0,1,0
492,2999,Feed,silt,3,20,49,0,1,0
493,2999,Feed,silt,3,30,50,0,2,0
494,2999,Feed,silt,3,30,55,0,2,0
495,3164,Feed,clay,3,40,49,0,3,0
496,3337,Feed,clay,3,10,50,0,3,0
497,3337,Feed,clay,3,30,59,0,2,0
498,3516,Feed,clay,3,15,45,0,1,0
499,3516,Feed,silt,3,10,59,0,3,0
500,3516,Feed,silt,3,15,,0,1,0
501,3702,Feed,clay,3,30,43,0,2,0
502,3895,Feed,clay,3,10,42,0,2,0
503,3895,Feed,clay,3,20,34,0,2,0
504,4097,Feed,clay,3,5,30,0,3,0
505,151,Food,clay,2,40,18,2,2,0
506,209,Food,clay,2,20,21,4,2,0
507,256,Food,clay,2,20,,3,1,0
508,283,Food,clay,2,15,14,11,2,0
509,283,Food,clay,2,20,20,6,2,0
510,312,Food,clay,2,15,,10,2,0
511,312,Food,clay,2,25,23,0,2,0
512,312,Food,clay,2,50,28,0,1,0
513,342,Food,clay,2,50,16,13,3,0
514,375,Food,clay,2,20,22,7,1,0
515,375,Food,clay,2,30,13,12,2,0
516,410,Food,clay,2,5,28,2,1,0
517,410,Food,clay,2,20,15,10,2,0
518,411,Food,clay,2,30,27,3,1,0
519,411,Food,clay,2,40,14,9,2,0
520,448,Food,clay,2,10,15,15,3,0
521,448,Food,clay,2,10,17,13,3,0
522,448,Food,clay,2,20,,3,2,0
523,448,Food,clay,2,20,22,8,2,0
524,448,Food,clay,2,20,22,11,2,0
525,448,Food,clay,2,30,10,16,1,0
526,448,Food,clay,2,30,15,14,1,0
527,448,Food,clay,2,40,25,1,1,0
528,488,Food,clay,2,20,19,13,1,0
529,488,Food,clay,2,20,24,11,1,0
530,488,Food,clay,2,30,,17,1,0
531,488,Food,clay,2,30,27,2,1,0
532,488,Food,clay,2,40,19,10,2,0
533,488,Food,clay,2,40,25,4,1,0
534,489,Food,clay,2,40,26,8,1,0
535,489,Food,clay,2,40,34,0,2,0
536,488,Food,clay,2,80,23,14,2,0
537,531,Food,clay,2,35,28,5,1,0
538,531,Food,clay,2,50,27,4,2,0
539,577,Food,clay,2,20,5,1,3,0
540,577,Food,clay,2,20,16,16,2,0
541,577,Food,clay,2,20,20,12,2,0
542,577,Food,clay,2,20,21,4,2,0
543,577,Food,clay,2,20,22,5,2,0
544,577,Food,clay,2,20,,0,2,0
545,577,Food,clay,2,40,19,8,2,0
546,577,Food,clay,2,45,15,18,3,0
547,626,Food,clay,2,10,5,5,2,0
548,625,Food,clay,2,10,13,17,2,0
549,625,Food,clay,2,15,15,20,2,0
550,626,Food,clay,2,20,18,18,2,0
551,625,Food,clay,2,25,13,20,3,0
552,625,Food,clay,2,40,14,15,3,0
553,625,Food,clay,2,40,31,1,2,0
554,625,Food,clay,2,60,19,13,2,0
555,625,Food,clay,2,20,25,5,1,0
556,677,Food,clay,2,5,20,9,1,0
557,677,Food,clay,2,5,34,0,2,0
558,677,Food,clay,2,20,12,16,2,0
559,677,Food,clay,2,20,15,4,1,0
560,677,Food,clay,2,30,17,16,2,0
561,677,Food,clay,2,40,28,8,2,0
562,677,Food,clay,2,40,,11,3,0
563,731,Food,clay,2,20,26,10,2,0
564,732,Food,clay,2,10,16,16,2,0
565,731,Food,clay,2,10,25,12,3,0
566,731,Food,clay,2,20,22,12,1,0
567,732,Food,clay,2,30,12,22,1,0
568,731,Food,clay,2,30,16,20,2,0
569,731,Food,clay,2,30,23,11,2,0
570,731,Food,clay,2,30,37,2,3,0
571,731,Food,clay,2,40,,19,2,0
572,732,Food,clay,2,40,36,2,2,0
573,731,Food,clay,2,60,,17,2,0
574,731,Food,clay,2,60,32,0,2,0
575,732,Food,clay,2,80,25,3,3,0
576,789,Food,clay,2,20,26,5,2,0
577,789,Food,clay,2,5,19,13,2,0
578,789,Food,clay,2,20,19,20,3,0
579,789,Food,clay,2,20,27,13,2,0
580,790,Food,clay,2,20,30,3,1,0
581,789,Food,clay,2,30,22,13,2,0
582,789,Food,clay,2,30,24,4,1,0
583,789,Food,clay,2,30,35,3,1,0
584,790,Food,clay,2,50,36,3,3,0
585,851,Food,clay,2,10,5,20,1,0
586,851,Food,clay,2,10,14,24,2,0
587,851,Food,clay,2,10,25,17,2,0
588,851,Food,clay,2,15,36,0,1,0
589,851,Food,clay,2,20,24,11,3,0
590,851,Food,clay,2,20,30,14,1,0
591,851,Food,clay,2,30,18,11,3,0
592,851,Food,clay,2,30,30,9,2,0
593,851,Food,clay,2,40,18,24,2,0
594,851,Food,clay,2,40,24,16,3,0
595,851,Food,clay,2,40,26,14,2,0
596,851,Food,clay,2,50,10,22,2,0
597,851,Food,clay,2,70,,4,2,0
598,851,Food,clay,2,10,20,16,2,0
599,851,Food,clay,2,20,32,5,1,0
600,915,Food,clay,2,5,18,16,2,0
601,915,Food,clay,2,5,32,0,1,0
602,915,Food,clay,2,10,17,19,2,0
603,916,Food,clay,2,15,18,21,3,0
604,915,Food,clay,2,30,34,7,3,0
605,915,Food,clay,2,30,43,0,1,0
606,915,Food,clay,2,40,10,24,2,0
607,916,Food,clay,2,40,13,19,2,0
608,915,Food,clay,2,40,14,25,2,0
609,915,Food,clay,2,40,26,12,3,0
